Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,1.0,0.7261829652996845,0.6801801801801802,0.672106824925816,0.6761194029850747,0.7323493755828169
2,1.0,0.7406940063091483,0.7019969278033794,0.6780415430267063,0.689811320754717,0.7515390182514694
3,1.0,0.7430555555555556,0.7025796661608498,0.6869436201780416,0.6946736684171043,0.7537212361400935
4,1.0,0.7411616161616161,0.6987951807228916,0.6884272997032641,0.6935724962630793,0.7427740364251105
5,1.0,0.7626262626262627,0.7197640117994101,0.7240356083086054,0.7218934911242604,0.7644118967309216
