Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,1.0,0.7570977917981072,0.7584973166368515,0.629080118694362,0.6877534468775344,0.7913924169322781
2,1.0,0.7652996845425868,0.7806691449814126,0.6231454005934718,0.693069306930693,0.7906936707270038
3,1.0,0.7866161616161617,0.8099630996309963,0.6513353115727003,0.7220394736842105,0.8209844956861193
4,1.0,0.7834595959595959,0.8116760828625236,0.6394658753709199,0.7153526970954357,0.8282431750574285
5,1.0,0.7834595959595959,0.7950089126559715,0.6617210682492581,0.7222672064777329,0.8229950366655694
