Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.5841881016253748,0.5854889589905363,0.8148148148148148,0.032640949554896145,0.06276747503566334,0.6120700377087669
2,0.5862395455262742,0.579179810725552,0.6060606060606061,0.02967359050445104,0.056577086280056574,0.5669476149246093
3,0.5850426001893342,0.5814393939393939,0.6666666666666666,0.032640949554896145,0.06223479490806223,0.5905204556946732
4,0.5858314925844115,0.5801767676767676,0.7142857142857143,0.02225519287833828,0.043165467625899276,0.5929565830832925
5,0.5837803723572105,0.5896464646464646,0.8333333333333334,0.04451038575667656,0.08450704225352114,0.596730147568951
