Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,1.0,0.705993690851735,0.6529411764705882,0.658753709198813,0.6558345642540621,0.7129026837913506
2,1.0,0.726813880126183,0.6785185185185185,0.6795252225519288,0.6790214974054856,0.7285321083362513
3,1.0,0.735479797979798,0.6900149031296572,0.6869436201780416,0.6884758364312268,0.7264976140212036
4,1.0,0.7108585858585859,0.6588235294117647,0.6646884272997032,0.6617429837518464,0.7032815346420511
5,1.0,0.7323232323232324,0.680635838150289,0.6988130563798219,0.6896046852122987,0.7409125137575794
