Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,1.0,0.7533123028391168,0.7522281639928698,0.6261127596439169,0.6834008097165991,0.7895825796792431
2,1.0,0.7526813880126183,0.7582417582417582,0.6142433234421365,0.6786885245901639,0.7817584959659679
3,1.0,0.7657828282828283,0.7662565905096661,0.6468842729970327,0.7015285599356396,0.8005741533957429
4,1.0,0.7828282828282829,0.8044280442804428,0.6468842729970327,0.7171052631578947,0.833708076279882
5,1.0,0.7676767676767676,0.765625,0.6543026706231454,0.7056,0.8088990877242994
