Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.632807570977918,0.6958892178241279,0.5012989985800652,0.48613884165842075,0.6974913816731804
2,0.6315457413249211,0.7199735359904615,0.4984336346760668,0.4872530966995009,0.6930578194376233
3,0.6256313131313131,0.6914357126483556,0.4869066675152026,0.46837533807372805,0.6850984451304922
4,0.6306818181818182,0.7195049911254134,0.49403651555652345,0.4859372127551248,0.6789454338765625
5,0.6174242424242424,0.6802545932498236,0.47580660735895325,0.4591309002823287,0.6827300133144587
