Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.9886381568565568,0.7425867507886436,0.7071651090342679,0.6735905044510386,0.6899696048632219,0.7588126604061375
2,0.9891115669875336,0.7602523659305994,0.7325949367088608,0.6869436201780416,0.7090352220520675,0.7793412278327008
3,0.9884821710318713,0.7632575757575758,0.7407407407407407,0.6824925816023739,0.7104247104247104,0.7794153484309931
4,0.9897443988639949,0.7657828282828283,0.7512437810945274,0.672106824925816,0.7094753328112764,0.8008343337936755
5,0.9889555064689176,0.7664141414141414,0.7310030395136778,0.7136498516320475,0.7222222222222223,0.7836004278069383
