Fold,TrainingAccuracy,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.7126400504970807,0.6769716088328076,0.5876623376623377,0.8056379821958457,0.6795994993742177,0.7158751246296929
2,0.7080637525643049,0.6965299684542586,0.6063947078280044,0.8160237388724035,0.6957621758380772,0.7133459929239122
3,0.7087409277374566,0.7007575757575758,0.6131221719457014,0.8041543026706232,0.6957637997432605,0.7435787644765782
4,0.7196276427895235,0.7190656565656566,0.6323699421965318,0.8115727002967359,0.7108512020792721,0.7531727701996057
5,0.7122120542757968,0.702020202020202,0.6155606407322655,0.798219584569733,0.6950904392764857,0.7259442866299565
