Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.7987381703470031,0.7332457293035479,0.827893175074184,0.7777003484320558,0.8377942376514842
2,0.8176656151419558,0.7993779160186625,0.7626112759643917,0.7805618830675778,0.8356538813510319
3,0.8289141414141414,0.8352745424292846,0.744807121661721,0.7874509803921569,0.8717331395411131
4,0.8345959595959596,0.8311897106109325,0.7670623145400594,0.7978395061728395,0.8898313486887044
5,0.8175505050505051,0.7496757457846952,0.857566765578635,0.7999999999999999,0.8684214862104758
