Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.7892744479495268,0.785234899328859,0.6943620178041543,0.737007874015748,0.8326600288823778
2,0.8176656151419558,0.8213689482470785,0.7299703264094956,0.7729772191673213,0.8539672919955512
3,0.8017676767676768,0.8272727272727273,0.6750741839762612,0.7434640522875817,0.8490841910511974
4,0.8289141414141414,0.7726657645466847,0.8471810089020771,0.808209483368719,0.8827530935241531
5,0.7683080808080808,0.6774566473988439,0.8694362017804155,0.7615334632878492,0.8524728155260355
