Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.7318611987381703,0.6944312193180492,0.6894422286465827,0.6878462439304838,0.7499219562438777
2,0.7425867507886436,0.7154747776713098,0.7208570764957818,0.7174860835602787,0.7582394492293225
3,0.7291666666666666,0.7054156505718814,0.6746314022068887,0.6866330886091072,0.7378700810452793
4,0.7556818181818182,0.732012043547882,0.6945447312139773,0.7037191507268322,0.7569450813608342
5,0.7247474747474747,0.6992407526230171,0.6672369075063836,0.672723952102783,0.7187265416312645
