Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.6788643533123029,0.6566746148889943,0.6157311402701218,0.6281297714125732,0.6902645102635017
2,0.6826498422712933,0.6546948352659343,0.6116152902190901,0.6229035187829538,0.6784397889396863
3,0.6799242424242424,0.6513936222526162,0.6083802664810435,0.6219260588176423,0.6673410355634535
4,0.6887626262626263,0.6682177240717634,0.6108398791739595,0.6281284336150044,0.6683380485778219
5,0.6685606060606061,0.6405784870746634,0.5915191011674027,0.606107665433516,0.652322363407938
