Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.6574132492113565,0.6181664672025944,0.6014698303380438,0.6060781828905627,0.6423029297127445
2,0.6637223974763407,0.6313734495793376,0.607638900511768,0.6140656948598111,0.6487456999046981
3,0.6767676767676768,0.6323249273881321,0.6108747734690607,0.6168026006424384,0.6399339761158392
4,0.6553030303030303,0.6164555575490316,0.5935609521638769,0.5993000988694959,0.6321511105807835
5,0.6584595959595959,0.617956421095008,0.5896307629841372,0.5989211679767248,0.630147992909715
