Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.637223974763407,0.5915541314564918,0.5944596438757405,0.5921126038187756,0.6261663637311976
2,0.6586750788643533,0.6230473293550197,0.6153030841387094,0.6168731607356285,0.6469831402286865
3,0.6571969696969697,0.608884693992461,0.5981084449343901,0.6016273227533928,0.6193962347059496
4,0.6407828282828283,0.5941352098585597,0.5823622787981253,0.5855898690872386,0.6189092509373753
5,0.6414141414141414,0.5958800541493192,0.5855824759598712,0.5896201647216941,0.6204948637589276
