Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.5362776025236593,0.6246082345220276,0.3821313027791685,0.3604723797662407,0.5838698209194533
2,0.543217665615142,0.6911484260338018,0.38996275846176087,0.36963005802878857,0.6013640253882202
3,0.538510101010101,0.6199061352265918,0.3830255143260557,0.36388130041288536,0.588860536529733
4,0.5391414141414141,0.5800978902199178,0.3851170806100288,0.3646106946654706,0.581870572133604
5,0.5460858585858586,0.678394469525594,0.39055703433140193,0.3722507257164027,0.5925111585074374
