Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.6340694006309149,0.6665648906761699,0.5079517234325304,0.5010403342885923,0.6587518922119724
2,0.6271293375394322,0.6628077347986752,0.49664229883623545,0.48463269434408884,0.6635595009771341
3,0.6376262626262627,0.6767928116028163,0.506562460936484,0.5025978547653134,0.65242298723835
4,0.6262626262626263,0.6541852905493971,0.4904152823936526,0.47926053672261887,0.6405325779837658
5,0.6281565656565656,0.6902404197084205,0.4938540678016189,0.4877337270490435,0.6513106703765043
