Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.6315457413249211,0.5995341471364094,0.5827431080463301,0.5878189991004656,0.571362800493441
2,0.6309148264984227,0.5916663872062526,0.5687164317896874,0.5769269713056207,0.5425762785099277
3,0.6035353535353535,0.5593921418058678,0.5413940475201716,0.5465399110961692,0.5522609612208129
4,0.6300505050505051,0.5892781719334266,0.564760737736645,0.5720485396950239,0.5753774026570438
5,0.5946969696969697,0.5344004743736411,0.5213739970360888,0.5239055416096869,0.5112800666131676
