Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.7230283911671924,0.6848120144189581,0.6848814058540127,0.6839578628143457,0.7365914638411173
2,0.7406940063091483,0.7190644031296667,0.6895594041854686,0.7005322354826299,0.7447382802311703
3,0.7203282828282829,0.7029253811690179,0.682012856158891,0.6907015702734717,0.7384575729915133
4,0.7367424242424242,0.6980010683732917,0.6886001954234411,0.6919681143044745,0.7351228747211641
5,0.711489898989899,0.6813922604070186,0.6441552750062309,0.6505517077878559,0.711117632614534
