Fold,TestAccuracy,Precision,Recall,F1,AvgPrecisionScore
1,0.705993690851735,0.6656065685726703,0.643747603008499,0.6283913793391463,0.7331282749100911
2,0.7394321766561515,0.7167423643886871,0.6952804382081252,0.7017125390705256,0.7556098823894837
3,0.7304292929292929,0.7038468189128019,0.6799946289351005,0.689183999417725,0.7398296954637766
4,0.735479797979798,0.6984966716618018,0.6987859946169004,0.6976643709736274,0.7446068780096385
5,0.7228535353535354,0.6928831592912421,0.6621981080256544,0.6738205077248564,0.7259624614197507
